Journee,Team,Adversaire,H/A,resultat,p.,c.
15.0,EA Guingamp,OGC Nice,H,0 - 1,0,1
15.0,OGC Nice,EA Guingamp,A,0 - 1,1,0
15.0,AS Nancy Lorraine,FC Metz,H,4 - 0,4,0
15.0,FC Metz,AS Nancy Lorraine,A,4 - 0,0,4
15.0,FC Nantes,Olympique Lyonnais,H,0 - 6,0,6
15.0,Olympique Lyonnais,FC Nantes,A,0 - 6,6,0
15.0,AS Saint-Etienne,Olympique de Marseille,H,0 - 0,0,0
15.0,Olympique de Marseille,AS Saint-Etienne,A,0 - 0,0,0
15.0,Toulouse FC,Montpellier Hérault SC,H,1 - 0,1,0
15.0,Montpellier Hérault SC,Toulouse FC,A,1 - 0,0,1
15.0,Paris Saint-Germain,Angers SCO,H,2 - 0,2,0
15.0,Angers SCO,Paris Saint-Germain,A,2 - 0,0,2
16.0,SM Caen,Dijon FCO,H,3 - 3,3,3
16.0,Dijon FCO,SM Caen,A,3 - 3,3,3
16.0,Montpellier Hérault SC,Paris Saint-Germain,H,3 - 0,3,0
16.0,Paris Saint-Germain,Montpellier Hérault SC,A,3 - 0,0,3
16.0,Angers SCO,FC Lorient,H,2 - 2,2,2
16.0,FC Lorient,Angers SCO,A,2 - 2,2,2
16.0,Girondins de Bordeaux,LOSC,H,0 - 1,0,1
16.0,LOSC,Girondins de Bordeaux,A,0 - 1,1,0
16.0,EA Guingamp,FC Nantes,H,2 - 0,2,0
16.0,FC Nantes,EA Guingamp,A,2 - 0,0,2
16.0,AS Monaco,SC Bastia,H,5 - 0,5,0
16.0,SC Bastia,AS Monaco,A,5 - 0,0,5
16.0,Stade Rennais FC,AS Saint-Etienne,H,2 - 0,2,0
16.0,AS Saint-Etienne,Stade Rennais FC,A,2 - 0,0,2
16.0,Olympique de Marseille,AS Nancy Lorraine,H,3 - 0,3,0
16.0,AS Nancy Lorraine,Olympique de Marseille,A,3 - 0,0,3
16.0,OGC Nice,Toulouse FC,H,3 - 0,3,0
16.0,Toulouse FC,OGC Nice,A,3 - 0,0,3
16.0,FC Metz,Olympique Lyonnais,H,0 - 3,0,3
16.0,Olympique Lyonnais,FC Metz,A,0 - 3,3,0
17.0,Dijon FCO,Olympique de Marseille,H,1 - 2,1,2
17.0,Olympique de Marseille,Dijon FCO,A,1 - 2,2,1
17.0,Girondins de Bordeaux,AS Monaco,H,0 - 4,0,4
17.0,AS Monaco,Girondins de Bordeaux,A,0 - 4,4,0
17.0,SC Bastia,FC Metz,H,2 - 0,2,0
17.0,FC Metz,SC Bastia,A,2 - 0,0,2
17.0,LOSC,Montpellier Hérault SC,H,2 - 1,2,1
17.0,Montpellier Hérault SC,LOSC,A,2 - 1,1,2
17.0,AS Nancy Lorraine,Angers SCO,H,2 - 0,2,0
17.0,Angers SCO,AS Nancy Lorraine,A,2 - 0,0,2
17.0,Toulouse FC,FC Lorient,H,3 - 2,3,2
17.0,FC Lorient,Toulouse FC,A,3 - 2,2,3
17.0,Olympique Lyonnais,Stade Rennais FC,H,1 - 0,1,0
17.0,Stade Rennais FC,Olympique Lyonnais,A,1 - 0,0,1
17.0,AS Saint-Etienne,EA Guingamp,H,1 - 0,1,0
17.0,EA Guingamp,AS Saint-Etienne,A,1 - 0,0,1
17.0,Paris Saint-Germain,OGC Nice,H,2 - 2,2,2
17.0,OGC Nice,Paris Saint-Germain,A,2 - 2,2,2
17.0,FC Nantes,SM Caen,H,1 - 0,1,0
17.0,SM Caen,FC Nantes,A,1 - 0,0,1
18.0,Angers SCO,FC Nantes,H,0 - 2,0,2
18.0,FC Nantes,Angers SCO,A,0 - 2,2,0
18.0,EA Guingamp,Paris Saint-Germain,H,2 - 1,2,1
18.0,Paris Saint-Germain,EA Guingamp,A,2 - 1,1,2
18.0,FC Lorient,AS Saint-Etienne,H,2 - 1,2,1
18.0,AS Saint-Etienne,FC Lorient,A,2 - 1,1,2
18.0,Montpellier Hérault SC,Girondins de Bordeaux,H,4 - 0,4,0
18.0,Girondins de Bordeaux,Montpellier Hérault SC,A,4 - 0,0,4
18.0,Stade Rennais FC,SC Bastia,H,1 - 2,1,2
18.0,SC Bastia,Stade Rennais FC,A,1 - 2,2,1
18.0,Toulouse FC,AS Nancy Lorraine,H,1 - 1,1,1
18.0,AS Nancy Lorraine,Toulouse FC,A,1 - 1,1,1
18.0,SM Caen,FC Metz,H,3 - 0,3,0
18.0,FC Metz,SM Caen,A,3 - 0,0,3
18.0,OGC Nice,Dijon FCO,H,2 - 1,2,1
18.0,Dijon FCO,OGC Nice,A,2 - 1,1,2
18.0,Olympique de Marseille,LOSC,H,2 - 0,2,0
18.0,LOSC,Olympique de Marseille,A,2 - 0,0,2
18.0,AS Monaco,Olympique Lyonnais,H,1 - 3,1,3
18.0,Olympique Lyonnais,AS Monaco,A,1 - 3,3,1
19.0,SC Bastia,Olympique de Marseille,H,1 - 2,1,2
19.0,Olympique de Marseille,SC Bastia,A,1 - 2,2,1
19.0,Girondins de Bordeaux,OGC Nice,H,0 - 0,0,0
19.0,OGC Nice,Girondins de Bordeaux,A,0 - 0,0,0
19.0,Dijon FCO,Toulouse FC,H,2 - 0,2,0
19.0,Toulouse FC,Dijon FCO,A,2 - 0,0,2
19.0,LOSC,Stade Rennais FC,H,1 - 1,1,1
19.0,Stade Rennais FC,LOSC,A,1 - 1,1,1
19.0,Olympique Lyonnais,Angers SCO,H,2 - 0,2,0
19.0,Angers SCO,Olympique Lyonnais,A,2 - 0,0,2
19.0,FC Metz,EA Guingamp,H,2 - 2,2,2
19.0,EA Guingamp,FC Metz,A,2 - 2,2,2
19.0,AS Monaco,SM Caen,H,2 - 1,2,1
19.0,SM Caen,AS Monaco,A,2 - 1,1,2
19.0,FC Nantes,Montpellier Hérault SC,H,1 - 0,1,0
19.0,Montpellier Hérault SC,FC Nantes,A,1 - 0,0,1
19.0,Paris Saint-Germain,FC Lorient,H,5 - 0,5,0
19.0,FC Lorient,Paris Saint-Germain,A,5 - 0,0,5
19.0,AS Saint-Etienne,AS Nancy Lorraine,H,0 - 0,0,0
19.0,AS Nancy Lorraine,AS Saint-Etienne,A,0 - 0,0,0
20.0,LOSC,AS Saint-Etienne,H,1 - 1,1,1
20.0,AS Saint-Etienne,LOSC,A,1 - 1,1,1
20.0,Stade Rennais FC,Paris Saint-Germain,H,0 - 1,0,1
20.0,Paris Saint-Germain,Stade Rennais FC,A,0 - 1,1,0
20.0,Angers SCO,Girondins de Bordeaux,H,1 - 1,1,1
20.0,Girondins de Bordeaux,Angers SCO,A,1 - 1,1,1
20.0,FC Lorient,EA Guingamp,H,3 - 1,3,1
20.0,EA Guingamp,FC Lorient,A,3 - 1,1,3
20.0,Montpellier Hérault SC,Dijon FCO,H,1 - 1,1,1
20.0,Dijon FCO,Montpellier Hérault SC,A,1 - 1,1,1
20.0,AS Nancy Lorraine,SC Bastia,H,1 - 0,1,0
20.0,SC Bastia,AS Nancy Lorraine,A,1 - 0,0,1
20.0,Toulouse FC,FC Nantes,H,0 - 1,0,1
20.0,FC Nantes,Toulouse FC,A,0 - 1,1,0
20.0,OGC Nice,FC Metz,H,0 - 0,0,0
20.0,FC Metz,OGC Nice,A,0 - 0,0,0
20.0,SM Caen,Olympique Lyonnais,H,3 - 2,3,2
20.0,Olympique Lyonnais,SM Caen,A,3 - 2,2,3
20.0,Olympique de Marseille,AS Monaco,H,1 - 4,1,4
20.0,AS Monaco,Olympique de Marseille,A,1 - 4,4,1
21.0,SC Bastia,OGC Nice,H,1 - 1,1,1
21.0,OGC Nice,SC Bastia,A,1 - 1,1,1
21.0,FC Nantes,Paris Saint-Germain,H,0 - 2,0,2
21.0,Paris Saint-Germain,FC Nantes,A,0 - 2,2,0
21.0,Girondins de Bordeaux,Toulouse FC,H,1 - 0,1,0
21.0,Toulouse FC,Girondins de Bordeaux,A,1 - 0,0,1
21.0,Dijon FCO,LOSC,H,0 - 0,0,0
21.0,LOSC,Dijon FCO,A,0 - 0,0,0
21.0,EA Guingamp,Stade Rennais FC,H,1 - 1,1,1
21.0,Stade Rennais FC,EA Guingamp,A,1 - 1,1,1
21.0,FC Metz,Montpellier Hérault SC,H,2 - 0,2,0
21.0,Montpellier Hérault SC,FC Metz,A,2 - 0,0,2
21.0,AS Monaco,FC Lorient,H,4 - 0,4,0
21.0,FC Lorient,AS Monaco,A,4 - 0,0,4
21.0,AS Saint-Etienne,Angers SCO,H,2 - 1,2,1
21.0,Angers SCO,AS Saint-Etienne,A,2 - 1,1,2
